scoring_interval,end_time,points,background
11,120,1,yellow
20,120,1,yellow
16,120,1,yellow
18,120,1,yellow
14,120,1,yellow
19,120,1,yellow
10,120,1,yellow
15,120,1,yellow
17,120,1,yellow
13,120,1,yellow
12,120,1,yellow
11,120,1,yellow
20,120,1,yellow
16,120,1,yellow
18,120,1,yellow
14,120,1,yellow
19,120,1,yellow
10,120,1,yellow
15,120,1,yellow
17,120,1,yellow
13,120,1,yellow
12,120,1,yellow
11,120,1,yellow
20,120,1,yellow
16,120,1,yellow
18,120,1,yellow
14,120,1,yellow
19,120,1,yellow
10,120,1,yellow
15,120,1,yellow
17,120,1,yellow
13,120,1,yellow
12,120,1,yellow
11,120,1,yellow
20,120,1,yellow
16,120,1,yellow
18,120,1,yellow
14,120,1,yellow
19,120,1,yellow
10,120,1,yellow
15,120,1,yellow
17,120,1,yellow
13,120,1,yellow
