scoring_interval,end_time,points,background,reinforced_square
10,30,1,yellow,alternative
11,30,1,yellow,alternative
20,30,1,yellow,alternative
16,30,1,yellow,alternative
18,30,1,yellow,alternative
14,30,1,yellow,alternative
19,30,1,yellow,alternative
10,30,1,yellow,alternative
15,30,1,yellow,alternative
17,30,1,yellow,alternative
13,30,1,yellow,alternative
12,30,1,yellow,alternative
11,30,1,yellow,alternative
20,30,1,yellow,alternative
16,30,1,yellow,alternative
18,30,1,yellow,alternative
14,30,1,yellow,alternative
19,30,1,yellow,alternative
10,30,1,yellow,alternative
15,30,1,yellow,alternative
17,30,1,yellow,alternative
13,30,1,yellow,alternative
12,30,1,yellow,alternative
11,30,1,yellow,alternative
20,30,1,yellow,alternative
16,30,1,yellow,alternative
18,30,1,yellow,alternative
14,30,1,yellow,alternative
19,30,1,yellow,alternative
10,30,1,yellow,alternative
15,30,1,yellow,alternative
17,30,1,yellow,alternative
13,30,1,yellow,alternative
12,30,1,yellow,alternative
11,30,1,yellow,alternative
20,30,1,yellow,alternative
16,30,1,yellow,alternative
18,30,1,yellow,alternative
14,30,1,yellow,alternative
19,30,1,yellow,alternative
10,30,1,yellow,alternative
15,30,1,yellow,alternative
17,30,1,yellow,alternative
