scoring_interval,end_time,points,background,reinforced_square
2,60,1,green,target
2,60,1,green,target
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
2,60,1,green,alternative
