scoring_interval,end_time,points,background,target_square
11,5,1,yellow,target
20,5,1,yellow,target
16,5,1,yellow,target
18,5,1,yellow,target
14,5,1,yellow,target
19,5,1,yellow,target
10,5,1,yellow,target
15,5,1,yellow,target
17,5,1,yellow,target
13,5,1,yellow,target
12,5,1,yellow,target
11,5,1,yellow,target
20,5,1,yellow,target
16,5,1,yellow,target
18,5,1,yellow,target
14,5,1,yellow,target
19,5,1,yellow,target
10,5,1,yellow,target
15,5,1,yellow,target
17,5,1,yellow,target
13,5,1,yellow,target
12,5,1,yellow,target
11,5,1,yellow,target
20,5,1,yellow,target
16,5,1,yellow,target
18,5,1,yellow,target
14,5,1,yellow,target
19,5,1,yellow,target
10,5,1,yellow,target
15,5,1,yellow,target
17,5,1,yellow,target
13,5,1,yellow,target
12,5,1,yellow,target
11,5,1,yellow,target
20,5,1,yellow,target
16,5,1,yellow,target
18,5,1,yellow,target
14,5,1,yellow,target
19,5,1,yellow,target
10,5,1,yellow,target
15,5,1,yellow,target
17,5,1,yellow,target
13,5,1,yellow,target
